Position,Track Name,Artist,Streams,URL,chart_start_date,chart_end_date,chart_country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_genre,album_release_date,album_type
1,willow,Taylor Swift,13281290,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D,2020-12-11,2020-12-18,USA,0.392,0.579,7,-9.195,1,0.164,0.835,0.00179,0.145,0.549,80.961,audio_features,3Uo7WG0vmLQ07WB4BDwy7D,spotify:track:3Uo7WG0vmLQ07WB4BDwy7D,https://api.spotify.com/v1/tracks/3Uo7WG0vmLQ07WB4BDwy7D,https://api.spotify.com/v1/audio-analysis/3Uo7WG0vmLQ07WB4BDwy7D,214707,4,Pop,2020-12-10,album
2,champagne problems,Taylor Swift,11570396,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339,2020-12-11,2020-12-18,USA,0.462,0.24,0,-12.077,1,0.0377,0.92,0.0,0.113,0.32,171.319,audio_features,0sY6ZUTh4yoctD8VIXz339,spotify:track:0sY6ZUTh4yoctD8VIXz339,https://api.spotify.com/v1/tracks/0sY6ZUTh4yoctD8VIXz339,https://api.spotify.com/v1/audio-analysis/0sY6ZUTh4yoctD8VIXz339,244000,4,Pop,2020-12-11,album
3,‘tis the damn season,Taylor Swift,10208226,https://open.spotify.com/track/4GBkffrtA51p17JH35irGA,2020-12-11,2020-12-18,USA,0.575,0.435,5,-8.193,1,0.0311,0.737,5.38e-05,0.105,0.351,145.91,audio_features,4GBkffrtA51p17JH35irGA,spotify:track:4GBkffrtA51p17JH35irGA,https://api.spotify.com/v1/tracks/4GBkffrtA51p17JH35irGA,https://api.spotify.com/v1/audio-analysis/4GBkffrtA51p17JH35irGA,229840,4,Pop,2020-12-10,album
4,gold rush,Taylor Swift,10193365,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq,2020-12-11,2020-12-18,USA,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,audio_features,5BK0uqwY9DNfZ630STAEaq,spotify:track:5BK0uqwY9DNfZ630STAEaq,https://api.spotify.com/v1/tracks/5BK0uqwY9DNfZ630STAEaq,https://api.spotify.com/v1/audio-analysis/5BK0uqwY9DNfZ630STAEaq,185320,4,Pop,2020-12-11,album
5,"no body, no crime (feat. HAIM)",Taylor Swift,10072011,https://open.spotify.com/track/6NriykdkRrjQMZo1sfVYUo,2020-12-11,2020-12-18,USA,0.547,0.613,7,-7.577,0,0.0264,0.431,0.0,0.102,0.528,79.011,audio_features,6NriykdkRrjQMZo1sfVYUo,spotify:track:6NriykdkRrjQMZo1sfVYUo,https://api.spotify.com/v1/tracks/6NriykdkRrjQMZo1sfVYUo,https://api.spotify.com/v1/audio-analysis/6NriykdkRrjQMZo1sfVYUo,215627,4,Pop,2020-12-10,album
6,tolerate it,Taylor Swift,9108436,https://open.spotify.com/track/0PurA4JVJ8YQgSVopY8fn6,2020-12-11,2020-12-18,USA,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-05,0.0797,0.221,74.952,audio_features,0PurA4JVJ8YQgSVopY8fn6,spotify:track:0PurA4JVJ8YQgSVopY8fn6,https://api.spotify.com/v1/tracks/0PurA4JVJ8YQgSVopY8fn6,https://api.spotify.com/v1/audio-analysis/0PurA4JVJ8YQgSVopY8fn6,245440,5,Pop,2020-12-11,album
7,Rockin' Around The Christmas Tree,Brenda Lee,8840460,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97,2020-12-11,2020-12-18,USA,0.589,0.472,8,-8.749,1,0.0502,0.614,0.0,0.505,0.898,67.196,audio_features,2EjXfH91m7f8HiJN1yQg97,spotify:track:2EjXfH91m7f8HiJN1yQg97,https://api.spotify.com/v1/tracks/2EjXfH91m7f8HiJN1yQg97,https://api.spotify.com/v1/audio-analysis/2EjXfH91m7f8HiJN1yQg97,126267,4,Pop,1964-10-19,album
8,happiness,Taylor Swift,8531241,https://open.spotify.com/track/73YUReisjb3A9ActdLLjJQ,2020-12-11,2020-12-18,USA,0.559,0.334,11,-10.733,1,0.0376,0.87,0.0,0.114,0.211,122.079,audio_features,73YUReisjb3A9ActdLLjJQ,spotify:track:73YUReisjb3A9ActdLLjJQ,https://api.spotify.com/v1/tracks/73YUReisjb3A9ActdLLjJQ,https://api.spotify.com/v1/audio-analysis/73YUReisjb3A9ActdLLjJQ,315147,4,Pop,2020-12-11,album
9,All I Want for Christmas Is You,Mariah Carey,8470955,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2020-12-11,2020-12-18,USA,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,audio_features,0bYg9bo50gSsH3LtXe2SQn,spotify:track:0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,https://api.spotify.com/v1/audio-analysis/0bYg9bo50gSsH3LtXe2SQn,241107,4,Pop,1994-11-01,album
10,Tequila Shots,Kid Cudi,8310609,https://open.spotify.com/track/30KctD1WsHKTIYczXjip5a,2020-12-11,2020-12-18,USA,0.712,0.556,5,-7.214,0,0.0531,0.084,5.04e-05,0.527,0.22,90.494,audio_features,30KctD1WsHKTIYczXjip5a,spotify:track:30KctD1WsHKTIYczXjip5a,https://api.spotify.com/v1/tracks/30KctD1WsHKTIYczXjip5a,https://api.spotify.com/v1/audio-analysis/30KctD1WsHKTIYczXjip5a,193293,4,Hip hop,2020-12-11,album
11,Jingle Bell Rock,Bobby Helms,8090270,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,2020-12-11,2020-12-18,USA,0.754,0.424,2,-8.463,1,0.0363,0.643,0.0,0.0652,0.806,119.705,audio_features,7vQbuQcyTflfCIOu3Uzzya,spotify:track:7vQbuQcyTflfCIOu3Uzzya,https://api.spotify.com/v1/tracks/7vQbuQcyTflfCIOu3Uzzya,https://api.spotify.com/v1/audio-analysis/7vQbuQcyTflfCIOu3Uzzya,130973,4,,1957-12-02,single
