Position,Track Name,Artist,Streams,URL,chart_start_date,chart_end_date,chart_country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_genre,album_release_date,album_type
1,God's Plan,Drake,49086805,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,2018-02-02,2018-02-09,GLB,0.758,0.448,7,-9.441,1,0.103,0.0309,8.67e-05,0.558,0.373,77.176,audio_features,2XW4DbS6NddZxRPm5rMCeY,spotify:track:2XW4DbS6NddZxRPm5rMCeY,https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY,https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY,198960,4,Hip hop,2018-01-20,single
2,rockstar,Post Malone,23614404,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,2018-02-02,2018-02-09,GLB,0.58,0.531,5,-6.631,0,0.0776,0.128,0.000127,0.143,0.141,159.786,audio_features,1OmcAT5Y8eg5bUPv9qJT4R,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,https://api.spotify.com/v1/tracks/1OmcAT5Y8eg5bUPv9qJT4R,https://api.spotify.com/v1/audio-analysis/1OmcAT5Y8eg5bUPv9qJT4R,218320,4,Hip hop,2017-09-15,single
3,Havana (feat. Young Thug),Camila Cabello,23492423,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2018-02-02,2018-02-09,GLB,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4,Pop,2018-01-12,album
4,IDGAF,Dua Lipa,20675939,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2018-02-02,2018-02-09,GLB,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,audio_features,76cy1WJvNGJTj78UqeA5zr,spotify:track:76cy1WJvNGJTj78UqeA5zr,https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr,https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr,217947,4,Pop,2017-06-02,album
5,Finesse - Remix; feat. Cardi B,Bruno Mars,20225750,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i,2018-02-02,2018-02-09,GLB,0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115,audio_features,3Vo4wInECJQuz9BIBMOu8i,spotify:track:3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,217289,4,Pop,2017-12-20,single
6,Pray For Me (with Kendrick Lamar),The Weeknd,19508953,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x,2018-02-02,2018-02-09,GLB,0.728,0.668,2,-5.02,1,0.126,0.0805,1.49e-05,0.102,0.162,100.537,audio_features,4ofvoCdXq99vpMZO4Cfp8x,spotify:track:4ofvoCdXq99vpMZO4Cfp8x,https://api.spotify.com/v1/tracks/4ofvoCdXq99vpMZO4Cfp8x,https://api.spotify.com/v1/audio-analysis/4ofvoCdXq99vpMZO4Cfp8x,211440,4,Soul and R&B,2018-02-02,single
7,River (feat. Ed Sheeran),Eminem,18833240,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD,2018-02-02,2018-02-09,GLB,0.757,0.748,8,-5.794,0,0.473,0.17,0.0,0.0759,0.693,90.052,audio_features,5UEnHoDYpsxlfzWLZIc7LD,spotify:track:5UEnHoDYpsxlfzWLZIc7LD,https://api.spotify.com/v1/tracks/5UEnHoDYpsxlfzWLZIc7LD,https://api.spotify.com/v1/audio-analysis/5UEnHoDYpsxlfzWLZIc7LD,221013,4,Hip hop,2017-12-15,album
8,Échame La Culpa,Luis Fonsi,17658939,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-02-02,2018-02-09,GLB,0.724,0.895,7,-3.617,1,0.0411,0.0322,0.0,0.097,0.64,96.022,audio_features,1zsG4eaZmkA1dvjDDsAGLK,spotify:track:1zsG4eaZmkA1dvjDDsAGLK,https://api.spotify.com/v1/tracks/1zsG4eaZmkA1dvjDDsAGLK,https://api.spotify.com/v1/audio-analysis/1zsG4eaZmkA1dvjDDsAGLK,173720,4,Latin,2017-11-17,single
9,Never Be the Same,Camila Cabello,17094224,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ,2018-02-02,2018-02-09,GLB,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,audio_features,4eWQlBRaTjPPUlzacqEeoQ,spotify:track:4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/tracks/4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ,226973,4,Pop,2018-01-12,album
10,Let You Down,NF,16287395,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-02,2018-02-09,GLB,0.659,0.716,5,-5.673,0,0.111,0.33,0.0,0.173,0.437,148.015,audio_features,6mrKP2jyIQmM0rw6fQryjr,spotify:track:6mrKP2jyIQmM0rw6fQryjr,https://api.spotify.com/v1/tracks/6mrKP2jyIQmM0rw6fQryjr,https://api.spotify.com/v1/audio-analysis/6mrKP2jyIQmM0rw6fQryjr,212120,4,Hip hop,2017-10-06,album
