Position,Track Name,Artist,Streams,URL,chart_start_date,chart_end_date,chart_country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_genre,album_release_date,album_type
1,God's Plan,Drake,45893551,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,2018-02-09,2018-02-16,GLB,0.758,0.448,7,-9.441,1,0.103,0.0309,8.67e-05,0.558,0.373,77.176,audio_features,2XW4DbS6NddZxRPm5rMCeY,spotify:track:2XW4DbS6NddZxRPm5rMCeY,https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY,https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY,198960,4,Hip hop,2018-01-20,single
2,All The Stars (with SZA),Kendrick Lamar,27624199,https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY,2018-02-09,2018-02-16,GLB,0.532,0.642,5,-4.891,0,0.111,0.0548,0.000246,0.0991,0.536,193.016,audio_features,2Imq77E6CEJR5TPUxlJvTY,spotify:track:2Imq77E6CEJR5TPUxlJvTY,https://api.spotify.com/v1/tracks/2Imq77E6CEJR5TPUxlJvTY,https://api.spotify.com/v1/audio-analysis/2Imq77E6CEJR5TPUxlJvTY,232187,4,Hip hop,2018-02-09,album
3,Pray For Me (with Kendrick Lamar),The Weeknd,22614831,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x,2018-02-09,2018-02-16,GLB,0.728,0.668,2,-5.02,1,0.126,0.0805,1.49e-05,0.102,0.162,100.537,audio_features,4ofvoCdXq99vpMZO4Cfp8x,spotify:track:4ofvoCdXq99vpMZO4Cfp8x,https://api.spotify.com/v1/tracks/4ofvoCdXq99vpMZO4Cfp8x,https://api.spotify.com/v1/audio-analysis/4ofvoCdXq99vpMZO4Cfp8x,211440,4,Soul and R&B,2018-02-02,single
4,rockstar,Post Malone,21927538,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,2018-02-09,2018-02-16,GLB,0.58,0.531,5,-6.631,0,0.0776,0.128,0.000127,0.143,0.141,159.786,audio_features,1OmcAT5Y8eg5bUPv9qJT4R,spotify:track:1OmcAT5Y8eg5bUPv9qJT4R,https://api.spotify.com/v1/tracks/1OmcAT5Y8eg5bUPv9qJT4R,https://api.spotify.com/v1/audio-analysis/1OmcAT5Y8eg5bUPv9qJT4R,218320,4,Hip hop,2017-09-15,single
5,Havana (feat. Young Thug),Camila Cabello,20910344,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2018-02-09,2018-02-16,GLB,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4,Pop,2018-01-12,album
6,IDGAF,Dua Lipa,20556701,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2018-02-09,2018-02-16,GLB,0.836,0.544,7,-5.975,1,0.0943,0.0403,0.0,0.0824,0.51,97.028,audio_features,76cy1WJvNGJTj78UqeA5zr,spotify:track:76cy1WJvNGJTj78UqeA5zr,https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr,https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr,217947,4,Pop,2017-06-02,album
7,Mine,Bazzi,20220396,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M,2018-02-09,2018-02-16,GLB,0.716,0.805,4,-3.839,1,0.0856,0.014,3.1e-06,0.291,0.719,142.886,audio_features,6tHWl8ows5JOZq9Yfaqn3M,spotify:track:6tHWl8ows5JOZq9Yfaqn3M,https://api.spotify.com/v1/tracks/6tHWl8ows5JOZq9Yfaqn3M,https://api.spotify.com/v1/audio-analysis/6tHWl8ows5JOZq9Yfaqn3M,133995,4,Pop,2017-10-12,single
8,Finesse - Remix; feat. Cardi B,Bruno Mars,18139896,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i,2018-02-09,2018-02-16,GLB,0.704,0.859,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.926,105.115,audio_features,3Vo4wInECJQuz9BIBMOu8i,spotify:track:3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,217289,4,Pop,2017-12-20,single
9,River (feat. Ed Sheeran),Eminem,17120208,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD,2018-02-09,2018-02-16,GLB,0.757,0.748,8,-5.794,0,0.473,0.17,0.0,0.0759,0.693,90.052,audio_features,5UEnHoDYpsxlfzWLZIc7LD,spotify:track:5UEnHoDYpsxlfzWLZIc7LD,https://api.spotify.com/v1/tracks/5UEnHoDYpsxlfzWLZIc7LD,https://api.spotify.com/v1/audio-analysis/5UEnHoDYpsxlfzWLZIc7LD,221013,4,Hip hop,2017-12-15,album
10,Dura,Daddy Yankee,17021591,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc,2018-02-09,2018-02-16,GLB,0.786,0.846,1,-3.468,1,0.0505,0.174,0.0,0.413,0.819,95.005,audio_features,2j2fIJGh4PMdXt9ULI5Tlc,spotify:track:2j2fIJGh4PMdXt9ULI5Tlc,https://api.spotify.com/v1/tracks/2j2fIJGh4PMdXt9ULI5Tlc,https://api.spotify.com/v1/audio-analysis/2j2fIJGh4PMdXt9ULI5Tlc,200480,4,Latin,2018-01-18,single
11,Look Alive (feat. Drake),BlocBoy JB,16902176,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,2018-02-09,2018-02-16,GLB,0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,audio_features,4qKcDkK6siZ7Jp1Jb4m0aL,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,https://api.spotify.com/v1/tracks/4qKcDkK6siZ7Jp1Jb4m0aL,https://api.spotify.com/v1/audio-analysis/4qKcDkK6siZ7Jp1Jb4m0aL,181263,4,Hip hop,2018-02-09,single
12,The Middle,Zedd,16235510,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2018-02-09,2018-02-16,GLB,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,audio_features,09IStsImFySgyp0pIQdqAc,spotify:track:09IStsImFySgyp0pIQdqAc,https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc,https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc,184732,4,Pop,2018-01-23,single
13,Échame La Culpa,Luis Fonsi,15929368,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2018-02-09,2018-02-16,GLB,0.724,0.895,7,-3.617,1,0.0411,0.0322,0.0,0.097,0.64,96.022,audio_features,1zsG4eaZmkA1dvjDDsAGLK,spotify:track:1zsG4eaZmkA1dvjDDsAGLK,https://api.spotify.com/v1/tracks/1zsG4eaZmkA1dvjDDsAGLK,https://api.spotify.com/v1/audio-analysis/1zsG4eaZmkA1dvjDDsAGLK,173720,4,Latin,2017-11-17,single
14,Never Be the Same,Camila Cabello,15830183,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ,2018-02-09,2018-02-16,GLB,0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,audio_features,4eWQlBRaTjPPUlzacqEeoQ,spotify:track:4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/tracks/4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ,226973,4,Pop,2018-01-12,album
15,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,15685933,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,2018-02-09,2018-02-16,GLB,0.653,0.809,0,-4.057,1,0.0474,0.194,0.0,0.165,0.55,92.213,audio_features,5CLGzJsGqhCEECcpnFQA8x,spotify:track:5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/tracks/5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/audio-analysis/5CLGzJsGqhCEECcpnFQA8x,210773,4,Pop,2018-01-19,single
16,Wolves,Selena Gomez,15051498,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,2018-02-09,2018-02-16,GLB,0.715,0.802,11,-4.647,0,0.0394,0.139,0.0,0.177,0.327,124.989,audio_features,7EmGUiUaOSGDnUUQUDrOXC,spotify:track:7EmGUiUaOSGDnUUQUDrOXC,https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC,https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC,197993,4,Pop,2017-10-25,single
17,Perfect,Ed Sheeran,14865786,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2018-02-09,2018-02-16,GLB,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,audio_features,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,263400,3,Pop,2017-03-03,album
18,New Rules,Dua Lipa,14663614,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-02-09,2018-02-16,GLB,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,audio_features,2ekn2ttSfGqwhhate0LSR0,spotify:track:2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,209320,4,Pop,2017-06-02,album
19,Let You Down,NF,14648357,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-09,2018-02-16,GLB,0.659,0.716,5,-5.673,0,0.111,0.33,0.0,0.173,0.437,148.015,audio_features,6mrKP2jyIQmM0rw6fQryjr,spotify:track:6mrKP2jyIQmM0rw6fQryjr,https://api.spotify.com/v1/tracks/6mrKP2jyIQmM0rw6fQryjr,https://api.spotify.com/v1/audio-analysis/6mrKP2jyIQmM0rw6fQryjr,212120,4,Hip hop,2017-10-06,album
20,Him & I (with Halsey),G-Eazy,14312364,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4,2018-02-09,2018-02-16,GLB,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,audio_features,5k38wzpLb15YgncyWdTZE4,spotify:track:5k38wzpLb15YgncyWdTZE4,https://api.spotify.com/v1/tracks/5k38wzpLb15YgncyWdTZE4,https://api.spotify.com/v1/audio-analysis/5k38wzpLb15YgncyWdTZE4,268867,4,Hip hop,2017-12-15,album
21,Stir Fry,Migos,14234105,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf,2018-02-09,2018-02-16,GLB,0.817,0.816,2,-5.402,1,0.269,0.00263,0.0,0.159,0.508,181.982,audio_features,2UVbBKQOdFAekPTRsnkzcf,spotify:track:2UVbBKQOdFAekPTRsnkzcf,https://api.spotify.com/v1/tracks/2UVbBKQOdFAekPTRsnkzcf,https://api.spotify.com/v1/audio-analysis/2UVbBKQOdFAekPTRsnkzcf,190288,4,Hip hop,2018-01-26,album
22,Sick Boy,The Chainsmokers,13820307,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0,2018-02-09,2018-02-16,GLB,0.548,0.58,11,-7.524,0,0.121,0.104,0.0,0.127,0.462,180.066,audio_features,7jqDzXJS0K0Re8uphYNit0,spotify:track:7jqDzXJS0K0Re8uphYNit0,https://api.spotify.com/v1/tracks/7jqDzXJS0K0Re8uphYNit0,https://api.spotify.com/v1/audio-analysis/7jqDzXJS0K0Re8uphYNit0,193893,4,Pop,2018-01-17,single
23,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,13780650,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,2018-02-09,2018-02-16,GLB,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,audio_features,7iDa6hUg2VgEL1o1HjmfBn,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,163870,4,Pop,2017-08-11,single
