Position,Track Name,Artist,Streams,URL,chart_start_date,chart_end_date,chart_country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_genre,album_release_date,album_type
1,Psycho,Red Velvet,686313,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,2019-12-27,2020-01-03,THA,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,audio_features,3CYH422oy1cZNoo0GTG1TK,spotify:track:3CYH422oy1cZNoo0GTG1TK,https://api.spotify.com/v1/tracks/3CYH422oy1cZNoo0GTG1TK,https://api.spotify.com/v1/audio-analysis/3CYH422oy1cZNoo0GTG1TK,210560,4,Pop,2019-12-23,album
2,ทิ้งแต่เก็บ - เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ,The Toys,512913,https://open.spotify.com/track/438m0u7h7miwjCdCdDCl9W,2019-12-27,2020-01-03,THA,0.324,0.222,10,-10.322,1,0.0351,0.899,0.0518,0.134,0.187,76.975,audio_features,438m0u7h7miwjCdCdDCl9W,spotify:track:438m0u7h7miwjCdCdDCl9W,https://api.spotify.com/v1/tracks/438m0u7h7miwjCdCdDCl9W,https://api.spotify.com/v1/audio-analysis/438m0u7h7miwjCdCdDCl9W,150625,3,Pop,2019-11-26,single
3,ฝนตกไหม,Three Man Down,376234,https://open.spotify.com/track/1ccwCCS7YSclzYibpK0DS4,2019-12-27,2020-01-03,THA,0.457,0.856,4,-6.03,1,0.0365,0.132,0.0,0.188,0.714,164.032,audio_features,1ccwCCS7YSclzYibpK0DS4,spotify:track:1ccwCCS7YSclzYibpK0DS4,https://api.spotify.com/v1/tracks/1ccwCCS7YSclzYibpK0DS4,https://api.spotify.com/v1/audio-analysis/1ccwCCS7YSclzYibpK0DS4,261250,4,Pop,2019-11-13,single
4,รักได้ป่าว,Gavin D,331898,https://open.spotify.com/track/5j9eyp0YnOKzAjQyXXXSeb,2019-12-27,2020-01-03,THA,0.811,0.403,5,-10.785,1,0.0445,0.447,0.0,0.25,0.389,93.994,audio_features,5j9eyp0YnOKzAjQyXXXSeb,spotify:track:5j9eyp0YnOKzAjQyXXXSeb,https://api.spotify.com/v1/tracks/5j9eyp0YnOKzAjQyXXXSeb,https://api.spotify.com/v1/audio-analysis/5j9eyp0YnOKzAjQyXXXSeb,224792,4,Hip hop,2019-12-17,single
5,ภาวนา,MEYOU,311073,https://open.spotify.com/track/7IcfEY0IyV4fdALbwJCw3v,2019-12-27,2020-01-03,THA,0.536,0.421,11,-11.907,0,0.0344,0.136,0.000112,0.102,0.534,138.013,audio_features,7IcfEY0IyV4fdALbwJCw3v,spotify:track:7IcfEY0IyV4fdALbwJCw3v,https://api.spotify.com/v1/tracks/7IcfEY0IyV4fdALbwJCw3v,https://api.spotify.com/v1/audio-analysis/7IcfEY0IyV4fdALbwJCw3v,160974,4,Hip hop,2019-08-01,single
6,แอบดี (How to live without you),Stamp,306854,https://open.spotify.com/track/1wl5vs3SCMPpHTIR8IW8nJ,2019-12-27,2020-01-03,THA,0.629,0.598,0,-6.654,1,0.0304,0.454,2.82e-05,0.204,0.442,103.979,audio_features,1wl5vs3SCMPpHTIR8IW8nJ,spotify:track:1wl5vs3SCMPpHTIR8IW8nJ,https://api.spotify.com/v1/tracks/1wl5vs3SCMPpHTIR8IW8nJ,https://api.spotify.com/v1/audio-analysis/1wl5vs3SCMPpHTIR8IW8nJ,241125,4,Pop,2019-10-24,single
7,ลงใจ,BOWKYLION,283125,https://open.spotify.com/track/3JvbGjNcSnAhNemVyvXqci,2019-12-27,2020-01-03,THA,0.583,0.445,0,-7.141,1,0.0282,0.487,0.0,0.109,0.315,74.94,audio_features,3JvbGjNcSnAhNemVyvXqci,spotify:track:3JvbGjNcSnAhNemVyvXqci,https://api.spotify.com/v1/tracks/3JvbGjNcSnAhNemVyvXqci,https://api.spotify.com/v1/audio-analysis/3JvbGjNcSnAhNemVyvXqci,216000,4,Pop,2019-11-18,single
8,ถ้าฉันเป็นเขา,Indigo,279888,https://open.spotify.com/track/7adzBs69Rjtj6194UZRWfm,2019-12-27,2020-01-03,THA,0.557,0.681,11,-6.75,0,0.104,0.513,0.000449,0.332,0.376,156.022,audio_features,7adzBs69Rjtj6194UZRWfm,spotify:track:7adzBs69Rjtj6194UZRWfm,https://api.spotify.com/v1/tracks/7adzBs69Rjtj6194UZRWfm,https://api.spotify.com/v1/audio-analysis/7adzBs69Rjtj6194UZRWfm,241154,4,Pop,2019-06-06,single
9,หวง (You're Mine),Earth Patravee,249921,https://open.spotify.com/track/5t2958ghc1UIUovv1pqMl3,2019-12-27,2020-01-03,THA,0.629,0.553,7,-5.162,0,0.403,0.671,0.0,0.106,0.544,125.912,audio_features,5t2958ghc1UIUovv1pqMl3,spotify:track:5t2958ghc1UIUovv1pqMl3,https://api.spotify.com/v1/tracks/5t2958ghc1UIUovv1pqMl3,https://api.spotify.com/v1/audio-analysis/5t2958ghc1UIUovv1pqMl3,216162,4,Pop,2019-08-21,single
10,Señorita,Shawn Mendes,237026,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2019-12-27,2020-01-03,THA,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,audio_features,6v3KW9xbzN5yKLt9YKDYA2,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,190800,4,Pop,2019-06-19,album
11,A Rocket to the Moon,Gavin D,234628,https://open.spotify.com/track/4Tp1SRCTJ6LO8XA3i9vuAT,2019-12-27,2020-01-03,THA,0.628,0.445,2,-7.657,1,0.0253,0.363,9.2e-05,0.118,0.114,147.986,audio_features,4Tp1SRCTJ6LO8XA3i9vuAT,spotify:track:4Tp1SRCTJ6LO8XA3i9vuAT,https://api.spotify.com/v1/tracks/4Tp1SRCTJ6LO8XA3i9vuAT,https://api.spotify.com/v1/audio-analysis/4Tp1SRCTJ6LO8XA3i9vuAT,291892,4,Hip hop,2019-11-15,single
12,เจ็บจนพอ,WANYAi,233612,https://open.spotify.com/track/4prGMvYxnXPsG7xueL4Gc8,2019-12-27,2020-01-03,THA,0.45,0.559,1,-6.425,1,0.0336,0.227,0.0,0.1,0.473,173.118,audio_features,4prGMvYxnXPsG7xueL4Gc8,spotify:track:4prGMvYxnXPsG7xueL4Gc8,https://api.spotify.com/v1/tracks/4prGMvYxnXPsG7xueL4Gc8,https://api.spotify.com/v1/audio-analysis/4prGMvYxnXPsG7xueL4Gc8,277500,4,Pop,2019-04-08,single
13,Memories,Maroon 5,223179,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,2019-12-27,2020-01-03,THA,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,audio_features,2b8fOow8UzyDFAE27YhOZM,spotify:track:2b8fOow8UzyDFAE27YhOZM,https://api.spotify.com/v1/tracks/2b8fOow8UzyDFAE27YhOZM,https://api.spotify.com/v1/audio-analysis/2b8fOow8UzyDFAE27YhOZM,189486,4,Pop,2019-09-20,single
