Position,Track Name,Artist,Streams,URL,chart_start_date,chart_end_date,chart_country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_genre,album_release_date,album_type
1,Señorita,Shawn Mendes,12882108,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,2019-06-28,2019-07-05,USA,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,audio_features,0TK2YIli7K1leLovkQiNik,spotify:track:0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/tracks/0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/audio-analysis/0TK2YIli7K1leLovkQiNik,190960,4,Pop,2019-06-21,single
2,Panini,Lil Nas X,11027225,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r,2019-06-28,2019-07-05,USA,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,audio_features,6fTt0CH2t0mdeB2N9XFG5r,spotify:track:6fTt0CH2t0mdeB2N9XFG5r,https://api.spotify.com/v1/tracks/6fTt0CH2t0mdeB2N9XFG5r,https://api.spotify.com/v1/audio-analysis/6fTt0CH2t0mdeB2N9XFG5r,114893,4,Hip hop,2019-06-21,single
3,Money In The Grave (Drake ft. Rick Ross),Drake,10952481,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,2019-06-28,2019-07-05,USA,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,audio_features,5ry2OE6R2zPQFDO85XkgRb,spotify:track:5ry2OE6R2zPQFDO85XkgRb,https://api.spotify.com/v1/tracks/5ry2OE6R2zPQFDO85XkgRb,https://api.spotify.com/v1/audio-analysis/5ry2OE6R2zPQFDO85XkgRb,205427,4,Hip hop,2019-06-15,single
4,Beautiful People (feat. Khalid),Ed Sheeran,8767250,https://open.spotify.com/track/4evmHXcjt3bTUHD1cvny97,2019-06-28,2019-07-05,USA,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,audio_features,4evmHXcjt3bTUHD1cvny97,spotify:track:4evmHXcjt3bTUHD1cvny97,https://api.spotify.com/v1/tracks/4evmHXcjt3bTUHD1cvny97,https://api.spotify.com/v1/audio-analysis/4evmHXcjt3bTUHD1cvny97,197867,4,Pop,2019-06-28,single
5,Truth Hurts,Lizzo,8724488,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,2019-06-28,2019-07-05,USA,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,5qmq61DAAOUaW8AUo8xKhh,spotify:track:5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/tracks/5qmq61DAAOUaW8AUo8xKhh,https://api.spotify.com/v1/audio-analysis/5qmq61DAAOUaW8AUo8xKhh,173325,4,Pop,2019-05-03,album
6,bad guy,Billie Eilish,8259796,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-06-28,2019-07-05,USA,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088,4,Pop,2019-03-29,album
7,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,7960496,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7,2019-06-28,2019-07-05,USA,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,6u7jPi22kF8CTQ3rb9DHE7,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,https://api.spotify.com/v1/tracks/6u7jPi22kF8CTQ3rb9DHE7,https://api.spotify.com/v1/audio-analysis/6u7jPi22kF8CTQ3rb9DHE7,157067,4,Hip hop,2019-04-05,single
8,Ransom,Lil Tecca,7883398,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH,2019-06-28,2019-07-05,USA,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,audio_features,1kBbgxAUc4HQv7cgIayIDH,spotify:track:1kBbgxAUc4HQv7cgIayIDH,https://api.spotify.com/v1/tracks/1kBbgxAUc4HQv7cgIayIDH,https://api.spotify.com/v1/audio-analysis/1kBbgxAUc4HQv7cgIayIDH,131280,4,Hip hop,2019-06-04,single
9,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,7221881,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019-06-28,2019-07-05,USA,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,audio_features,3KkXRkHbMCARz0aVfEt68P,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,158040,4,Hip hop,2018-12-14,album
10,Rodeo,Lil Nas X,7111558,https://open.spotify.com/track/4ak7xjvBeBOcJGWFDX9w5n,2019-06-28,2019-07-05,USA,0.706,0.679,9,-5.614,1,0.0324,0.139,6.98e-05,0.465,0.657,140.081,audio_features,4ak7xjvBeBOcJGWFDX9w5n,spotify:track:4ak7xjvBeBOcJGWFDX9w5n,https://api.spotify.com/v1/tracks/4ak7xjvBeBOcJGWFDX9w5n,https://api.spotify.com/v1/audio-analysis/4ak7xjvBeBOcJGWFDX9w5n,158707,4,Hip hop,2019-06-21,single
11,I Don't Care (with Justin Bieber),Ed Sheeran,6674850,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,2019-06-28,2019-07-05,USA,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,audio_features,3HVWdVOQ0ZA45FuZGSfvns,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns,219947,4,Pop,2019-05-10,single
12,You Need To Calm Down,Taylor Swift,6661099,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS,2019-06-28,2019-07-05,USA,0.768,0.678,2,-5.604,1,0.0505,0.00838,0.0,0.0596,0.706,85.025,audio_features,29fRTIKsJhLUJoldM89GZS,spotify:track:29fRTIKsJhLUJoldM89GZS,https://api.spotify.com/v1/tracks/29fRTIKsJhLUJoldM89GZS,https://api.spotify.com/v1/audio-analysis/29fRTIKsJhLUJoldM89GZS,171387,4,Pop,2019-06-14,single
13,Suge,DaBaby,6529561,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,2019-06-28,2019-07-05,USA,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,audio_features,2gwkD6igEhQbDQegRCcdoB,spotify:track:2gwkD6igEhQbDQegRCcdoB,https://api.spotify.com/v1/tracks/2gwkD6igEhQbDQegRCcdoB,https://api.spotify.com/v1/audio-analysis/2gwkD6igEhQbDQegRCcdoB,163320,4,Hip hop,2019-03-01,album
14,The London (feat. J. Cole & Travis Scott),Young Thug,6496479,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx,2019-06-28,2019-07-05,USA,0.796,0.586,4,-6.946,0,0.147,0.0247,0.0,0.132,0.179,97.981,audio_features,7DcvwMAiqKJQD1rrdfxSDx,spotify:track:7DcvwMAiqKJQD1rrdfxSDx,https://api.spotify.com/v1/tracks/7DcvwMAiqKJQD1rrdfxSDx,https://api.spotify.com/v1/audio-analysis/7DcvwMAiqKJQD1rrdfxSDx,200107,4,Hip hop,2019-05-23,single
15,No Guidance (feat. Drake),Chris Brown,5629550,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,2019-06-28,2019-07-05,USA,0.696,0.454,1,-6.756,0,0.153,0.123,0.0,0.155,0.136,92.928,audio_features,6XHVuErjQ4XNm6nDPVCxVX,spotify:track:6XHVuErjQ4XNm6nDPVCxVX,https://api.spotify.com/v1/tracks/6XHVuErjQ4XNm6nDPVCxVX,https://api.spotify.com/v1/audio-analysis/6XHVuErjQ4XNm6nDPVCxVX,260640,4,Pop,2019-06-28,album
16,Pop Out (feat. Lil Tjay),Polo G,5591317,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1,2019-06-28,2019-07-05,USA,0.772,0.639,1,-7.119,1,0.467,0.15,0.0,0.0698,0.261,168.112,audio_features,6uFn47ACjqYkc0jADwEdj1,spotify:track:6uFn47ACjqYkc0jADwEdj1,https://api.spotify.com/v1/tracks/6uFn47ACjqYkc0jADwEdj1,https://api.spotify.com/v1/audio-analysis/6uFn47ACjqYkc0jADwEdj1,166560,4,Hip hop,2019-06-07,album
17,It's You,Ali Gatie,5371004,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq,2019-06-28,2019-07-05,USA,0.732,0.463,11,-6.972,0,0.0287,0.374,0.0,0.194,0.397,95.971,audio_features,6moU77g9RQyMzHNuKEaQKq,spotify:track:6moU77g9RQyMzHNuKEaQKq,https://api.spotify.com/v1/tracks/6moU77g9RQyMzHNuKEaQKq,https://api.spotify.com/v1/audio-analysis/6moU77g9RQyMzHNuKEaQKq,212607,4,Hip hop,2019-06-14,single
18,EARFQUAKE,"Tyler, The Creator",5202444,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0,2019-06-28,2019-07-05,USA,0.554,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,audio_features,5hVghJ4KaYES3BFUATCYn0,spotify:track:5hVghJ4KaYES3BFUATCYn0,https://api.spotify.com/v1/tracks/5hVghJ4KaYES3BFUATCYn0,https://api.spotify.com/v1/audio-analysis/5hVghJ4KaYES3BFUATCYn0,190067,4,Hip hop,2019-05-17,album
19,One Thing Right,Marshmello,5118361,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,2019-06-28,2019-07-05,USA,0.659,0.625,4,-2.253,1,0.045,0.0644,0.0,0.582,0.442,88.042,audio_features,4hPpVbbakQNv8YTHYaOJP4,spotify:track:4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/tracks/4hPpVbbakQNv8YTHYaOJP4,https://api.spotify.com/v1/audio-analysis/4hPpVbbakQNv8YTHYaOJP4,181824,4,Pop,2019-06-21,single
20,Talk (feat. Disclosure),Khalid,5079828,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2019-06-28,2019-07-05,USA,0.9,0.4,0,-8.575,1,0.127,0.0516,0.0,0.0599,0.346,135.984,audio_features,6TqXcAFInzjp0bODyvrWEq,spotify:track:6TqXcAFInzjp0bODyvrWEq,https://api.spotify.com/v1/tracks/6TqXcAFInzjp0bODyvrWEq,https://api.spotify.com/v1/audio-analysis/6TqXcAFInzjp0bODyvrWEq,197573,4,Pop,2019-04-05,album
21,Lalala,Y2K,4870704,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,2019-06-28,2019-07-05,USA,0.843,0.39,2,-7.899,1,0.0846,0.178,0.0,0.137,0.495,129.972,audio_features,51Fjme0JiitpyXKuyQiCDo,spotify:track:51Fjme0JiitpyXKuyQiCDo,https://api.spotify.com/v1/tracks/51Fjme0JiitpyXKuyQiCDo,https://api.spotify.com/v1/audio-analysis/51Fjme0JiitpyXKuyQiCDo,160627,4,Pop,2019-06-28,single
22,"Go Loko (feat. Tyga, Jon Z)",YG,4694760,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD,2019-06-28,2019-07-05,USA,0.88,0.67,2,-5.177,1,0.0468,0.325,4.17e-06,0.0662,0.131,101.008,audio_features,1kK6DwzyXJSp58u5HYWwuD,spotify:track:1kK6DwzyXJSp58u5HYWwuD,https://api.spotify.com/v1/tracks/1kK6DwzyXJSp58u5HYWwuD,https://api.spotify.com/v1/audio-analysis/1kK6DwzyXJSp58u5HYWwuD,299227,4,Hip hop,2019-05-24,album
23,Call You Mine (feat. Bebe Rexha),The Chainsmokers,4515496,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR,2019-06-28,2019-07-05,USA,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,audio_features,05CwHjIk71RXVU40boRMnR,spotify:track:05CwHjIk71RXVU40boRMnR,https://api.spotify.com/v1/tracks/05CwHjIk71RXVU40boRMnR,https://api.spotify.com/v1/audio-analysis/05CwHjIk71RXVU40boRMnR,217653,4,Pop,2019-05-31,single
24,Never Really Over,Katy Perry,4447864,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,2019-06-28,2019-07-05,USA,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,audio_features,5PYQUBXc7NYeI1obMKSJK0,spotify:track:5PYQUBXc7NYeI1obMKSJK0,https://api.spotify.com/v1/tracks/5PYQUBXc7NYeI1obMKSJK0,https://api.spotify.com/v1/audio-analysis/5PYQUBXc7NYeI1obMKSJK0,223523,4,Pop,2019-05-31,single
25,Wow.,Post Malone,4328245,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019-06-28,2019-07-05,USA,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,audio_features,6MWtB6iiXyIwun0YzU6DFP,spotify:track:6MWtB6iiXyIwun0YzU6DFP,https://api.spotify.com/v1/tracks/6MWtB6iiXyIwun0YzU6DFP,https://api.spotify.com/v1/audio-analysis/6MWtB6iiXyIwun0YzU6DFP,149520,4,Hip hop,2018-12-24,single
26,If I Can't Have You,Shawn Mendes,4325877,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz,2019-06-28,2019-07-05,USA,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,audio_features,6LsAAHotRLMOHfCsSfYCsz,spotify:track:6LsAAHotRLMOHfCsSfYCsz,https://api.spotify.com/v1/tracks/6LsAAHotRLMOHfCsSfYCsz,https://api.spotify.com/v1/audio-analysis/6LsAAHotRLMOHfCsSfYCsz,190800,4,Pop,2019-05-03,single
27,QUE PRETENDES,J Balvin,4255012,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,2019-06-28,2019-07-05,USA,0.639,0.791,10,-4.443,0,0.253,0.0275,0.0,0.362,0.939,92.603,audio_features,25ZAibhr3bdlMCLmubZDVt,spotify:track:25ZAibhr3bdlMCLmubZDVt,https://api.spotify.com/v1/tracks/25ZAibhr3bdlMCLmubZDVt,https://api.spotify.com/v1/audio-analysis/25ZAibhr3bdlMCLmubZDVt,222347,4,Latin,2019-06-28,album
28,Higher Love,Kygo,4207106,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,2019-06-28,2019-07-05,USA,0.693,0.678,8,-7.159,1,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,audio_features,6oJ6le65B3SEqPwMRNXWjY,spotify:track:6oJ6le65B3SEqPwMRNXWjY,https://api.spotify.com/v1/tracks/6oJ6le65B3SEqPwMRNXWjY,https://api.spotify.com/v1/audio-analysis/6oJ6le65B3SEqPwMRNXWjY,228267,4,Pop,2019-06-28,single
