Position,Track Name,Artist,Streams,URL,chart_start_date,chart_end_date,chart_country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_genre,album_release_date,album_type
1,Extraordinary,Anatomy Rabbit,493589,https://open.spotify.com/track/19CoWVqDyUbiqxoyMf4HkJ,2021-02-19,2021-02-26,THA,0.579,0.538,4,-7.208,0,0.0356,0.217,0.00289,0.289,0.567,159.996,audio_features,19CoWVqDyUbiqxoyMf4HkJ,spotify:track:19CoWVqDyUbiqxoyMf4HkJ,https://api.spotify.com/v1/tracks/19CoWVqDyUbiqxoyMf4HkJ,https://api.spotify.com/v1/audio-analysis/19CoWVqDyUbiqxoyMf4HkJ,241983,4,Pop,2020-12-10,single
2,ถ้าเธอรักฉันจริง,Three Man Down,452049,https://open.spotify.com/track/2vA7CHG08LDzeMDAuPnUQg,2021-02-19,2021-02-26,THA,0.423,0.713,3,-5.021,1,0.0416,0.135,0.0,0.0884,0.471,170.087,audio_features,2vA7CHG08LDzeMDAuPnUQg,spotify:track:2vA7CHG08LDzeMDAuPnUQg,https://api.spotify.com/v1/tracks/2vA7CHG08LDzeMDAuPnUQg,https://api.spotify.com/v1/audio-analysis/2vA7CHG08LDzeMDAuPnUQg,240250,4,Pop,2020-12-15,single
3,จำเลยรัก - Defendant Of Love,F.HERO,424516,https://open.spotify.com/track/0AGhwXsWpVOwjHY5yf4dtD,2021-02-19,2021-02-26,THA,0.695,0.751,11,-5.242,0,0.154,0.56,0.0,0.0921,0.778,79.996,audio_features,0AGhwXsWpVOwjHY5yf4dtD,spotify:track:0AGhwXsWpVOwjHY5yf4dtD,https://api.spotify.com/v1/tracks/0AGhwXsWpVOwjHY5yf4dtD,https://api.spotify.com/v1/audio-analysis/0AGhwXsWpVOwjHY5yf4dtD,264000,4,Hip hop,2020-11-17,single
4,จีบ,QLER,371830,https://open.spotify.com/track/5bvgLLWn7IFu6mOa46XaoV,2021-02-19,2021-02-26,THA,0.727,0.425,2,-11.781,1,0.0425,0.646,8.33e-05,0.368,0.487,95.045,audio_features,5bvgLLWn7IFu6mOa46XaoV,spotify:track:5bvgLLWn7IFu6mOa46XaoV,https://api.spotify.com/v1/tracks/5bvgLLWn7IFu6mOa46XaoV,https://api.spotify.com/v1/audio-analysis/5bvgLLWn7IFu6mOa46XaoV,224261,4,Pop,2019-10-30,single
5,ช่วยไม่ได้,UrboyTJ,336918,https://open.spotify.com/track/4GGNl8jiANylTJj4hfzqP7,2021-02-19,2021-02-26,THA,0.803,0.573,10,-6.963,1,0.0905,0.299,0.0,0.0893,0.587,94.986,audio_features,4GGNl8jiANylTJj4hfzqP7,spotify:track:4GGNl8jiANylTJj4hfzqP7,https://api.spotify.com/v1/tracks/4GGNl8jiANylTJj4hfzqP7,https://api.spotify.com/v1/audio-analysis/4GGNl8jiANylTJj4hfzqP7,197949,4,Hip hop,2020-11-03,album
6,Roses,Finn Askew,312481,https://open.spotify.com/track/7h5JV2j5wEwMP2hQE12Nk4,2021-02-19,2021-02-26,THA,0.713,0.595,1,-5.519,1,0.0653,0.592,0.0,0.123,0.32,114.972,audio_features,7h5JV2j5wEwMP2hQE12Nk4,spotify:track:7h5JV2j5wEwMP2hQE12Nk4,https://api.spotify.com/v1/tracks/7h5JV2j5wEwMP2hQE12Nk4,https://api.spotify.com/v1/audio-analysis/7h5JV2j5wEwMP2hQE12Nk4,201701,4,,2020-07-31,single
7,แค่ฝันไป,Whal & Dolph,311817,https://open.spotify.com/track/6odrQWsbCEeOZ8gptITc2i,2021-02-19,2021-02-26,THA,0.729,0.482,6,-8.344,1,0.0311,0.191,0.000798,0.107,0.339,130.047,audio_features,6odrQWsbCEeOZ8gptITc2i,spotify:track:6odrQWsbCEeOZ8gptITc2i,https://api.spotify.com/v1/tracks/6odrQWsbCEeOZ8gptITc2i,https://api.spotify.com/v1/audio-analysis/6odrQWsbCEeOZ8gptITc2i,284000,4,Pop,2021-02-14,single
8,โคตรพิเศษ - (From “แปลรักฉันด้วยใจเธอ”),Billkin,299653,https://open.spotify.com/track/6MVbuOWvXHbPHtVwScK6M1,2021-02-19,2021-02-26,THA,0.513,0.469,7,-8.166,1,0.0411,0.725,0.0,0.122,0.433,177.886,audio_features,6MVbuOWvXHbPHtVwScK6M1,spotify:track:6MVbuOWvXHbPHtVwScK6M1,https://api.spotify.com/v1/tracks/6MVbuOWvXHbPHtVwScK6M1,https://api.spotify.com/v1/audio-analysis/6MVbuOWvXHbPHtVwScK6M1,238652,4,,2020-11-20,single
9,อยากเริ่มต้นใหม่กับคนเดิม (repeat),Ink Waruntorn,287980,https://open.spotify.com/track/1E0waZD9GmD0SkbEhk19J4,2021-02-19,2021-02-26,THA,0.55,0.794,2,-5.02,1,0.0447,0.0388,1.27e-05,0.109,0.608,163.9,audio_features,1E0waZD9GmD0SkbEhk19J4,spotify:track:1E0waZD9GmD0SkbEhk19J4,https://api.spotify.com/v1/tracks/1E0waZD9GmD0SkbEhk19J4,https://api.spotify.com/v1/audio-analysis/1E0waZD9GmD0SkbEhk19J4,238000,4,Pop,2020-11-30,single
10,At My Worst,Pink Sweat$,285894,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH,2021-02-19,2021-02-26,THA,0.813,0.415,0,-5.926,1,0.0349,0.777,0.0,0.131,0.667,91.921,audio_features,2MJz8BxxMsERULatmBikDH,spotify:track:2MJz8BxxMsERULatmBikDH,https://api.spotify.com/v1/tracks/2MJz8BxxMsERULatmBikDH,https://api.spotify.com/v1/audio-analysis/2MJz8BxxMsERULatmBikDH,170345,4,Soul and R&B,2021-02-12,album
