Position,Track Name,Artist,Streams,URL,chart_start_date,chart_end_date,chart_country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_genre,album_release_date,album_type
1,ซ่อนกลิ่น,Palmy,445679,https://open.spotify.com/track/7woh2lJvyILYxSQ1kXTI3d,2018-10-26,2018-11-02,THA,0.489,0.714,0,-5.771,1,0.0274,0.0427,0.000306,0.099,0.284,90.991,audio_features,7woh2lJvyILYxSQ1kXTI3d,spotify:track:7woh2lJvyILYxSQ1kXTI3d,https://api.spotify.com/v1/tracks/7woh2lJvyILYxSQ1kXTI3d,https://api.spotify.com/v1/audio-analysis/7woh2lJvyILYxSQ1kXTI3d,251947,4,Pop,2018-10-20,single
2,ลาลาลอย (100%),The Toys,295871,https://open.spotify.com/track/3f3L2MP4oniV1bmSxGbcW4,2018-10-26,2018-11-02,THA,0.685,0.738,2,-8.211,1,0.0327,0.252,0.0465,0.111,0.784,85.009,audio_features,3f3L2MP4oniV1bmSxGbcW4,spotify:track:3f3L2MP4oniV1bmSxGbcW4,https://api.spotify.com/v1/tracks/3f3L2MP4oniV1bmSxGbcW4,https://api.spotify.com/v1/audio-analysis/3f3L2MP4oniV1bmSxGbcW4,184000,4,Pop,2018-10-25,album
3,เป็นไรไหม?,OG-ANIC,181458,https://open.spotify.com/track/09Mn2O6dtMLCKdeD0BtLdO,2018-10-26,2018-11-02,THA,0.858,0.56,2,-6.24,1,0.106,0.41,0.0,0.111,0.966,139.989,audio_features,09Mn2O6dtMLCKdeD0BtLdO,spotify:track:09Mn2O6dtMLCKdeD0BtLdO,https://api.spotify.com/v1/tracks/09Mn2O6dtMLCKdeD0BtLdO,https://api.spotify.com/v1/audio-analysis/09Mn2O6dtMLCKdeD0BtLdO,212571,4,Hip hop,2018-09-12,single
4,อาวรณ์,Polycat,171257,https://open.spotify.com/track/2USX969yFQ250hBULh6Ope,2018-10-26,2018-11-02,THA,0.629,0.763,2,-5.47,1,0.0744,0.164,0.0,0.176,0.809,146.012,audio_features,2USX969yFQ250hBULh6Ope,spotify:track:2USX969yFQ250hBULh6Ope,https://api.spotify.com/v1/tracks/2USX969yFQ250hBULh6Ope,https://api.spotify.com/v1/audio-analysis/2USX969yFQ250hBULh6Ope,267123,4,Pop,2018-08-07,single
5,Kiss and Make Up,Dua Lipa,169142,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2018-10-26,2018-11-02,THA,0.675,0.729,8,-4.383,1,0.146,0.0557,0.0,0.189,0.63,99.986,audio_features,13hvHEstJ4sNbzdroPrPI3,spotify:track:13hvHEstJ4sNbzdroPrPI3,https://api.spotify.com/v1/tracks/13hvHEstJ4sNbzdroPrPI3,https://api.spotify.com/v1/audio-analysis/13hvHEstJ4sNbzdroPrPI3,190560,4,Pop,2015,album
6,เสือสิ้นลาย,F.HERO,139968,https://open.spotify.com/track/42pEFPN6KrUydf2ufdampZ,2018-10-26,2018-11-02,THA,0.913,0.591,11,-4.789,1,0.0996,0.382,0.0,0.0739,0.772,135.957,audio_features,42pEFPN6KrUydf2ufdampZ,spotify:track:42pEFPN6KrUydf2ufdampZ,https://api.spotify.com/v1/tracks/42pEFPN6KrUydf2ufdampZ,https://api.spotify.com/v1/audio-analysis/42pEFPN6KrUydf2ufdampZ,243529,4,Hip hop,2018-10-11,single
7,มีผลต่อหัวใจ,Non Tanon,135230,https://open.spotify.com/track/6LxsOkPSGBOsPhDKFAgYVM,2018-10-26,2018-11-02,THA,0.638,0.664,11,-6.796,1,0.0655,0.373,1.64e-06,0.0808,0.474,81.995,audio_features,6LxsOkPSGBOsPhDKFAgYVM,spotify:track:6LxsOkPSGBOsPhDKFAgYVM,https://api.spotify.com/v1/tracks/6LxsOkPSGBOsPhDKFAgYVM,https://api.spotify.com/v1/audio-analysis/6LxsOkPSGBOsPhDKFAgYVM,304429,4,Pop,2018-06-15,single
8,Waste It On Me (feat. BTS),Steve Aoki,123002,https://open.spotify.com/track/2r1T6xGTVaNAqBoPH4lZEE,2018-10-26,2018-11-02,THA,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097,audio_features,2r1T6xGTVaNAqBoPH4lZEE,spotify:track:2r1T6xGTVaNAqBoPH4lZEE,https://api.spotify.com/v1/tracks/2r1T6xGTVaNAqBoPH4lZEE,https://api.spotify.com/v1/audio-analysis/2r1T6xGTVaNAqBoPH4lZEE,192537,4,Pop,2018-10-25,single
9,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,122140,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8,2018-10-26,2018-11-02,THA,0.753,0.498,2,-5.61,1,0.0504,0.551,0.0,0.0706,0.927,89.95,audio_features,1A6OTy97kk0mMdm78rHsm8,spotify:track:1A6OTy97kk0mMdm78rHsm8,https://api.spotify.com/v1/tracks/1A6OTy97kk0mMdm78rHsm8,https://api.spotify.com/v1/audio-analysis/1A6OTy97kk0mMdm78rHsm8,158053,4,Hip hop,2018-10-18,single
10,ติดตลก,Oat Pramote,119162,https://open.spotify.com/track/6YYcwUa7auypfzwUZoNEGY,2018-10-26,2018-11-02,THA,0.609,0.394,10,-10.216,1,0.027,0.631,6.29e-05,0.108,0.388,142.034,audio_features,6YYcwUa7auypfzwUZoNEGY,spotify:track:6YYcwUa7auypfzwUZoNEGY,https://api.spotify.com/v1/tracks/6YYcwUa7auypfzwUZoNEGY,https://api.spotify.com/v1/audio-analysis/6YYcwUa7auypfzwUZoNEGY,266001,4,Pop,2018-08-29,single
